labels,balaban,nodes,edges,estrada,narumi,padmakar_ivan,polarity_nr,randic,szeged,wiener,zagreb,schultz,mod_zagreb,hyp_wiener,n_impurity,label_entropy,edge_strength
0,1.264982872738276,47,53,124.26355,142657607172096.0,2544,109,21.727583,10794.0,6996,290,30653,46.999999940395355,31586.0,1.4074074074074074,0.8196004346196012,0.16981132075471697
1,2.674451442522798,11,11,26.426481,432.0,104,17,4.942394,226.0,138,56,563,11.0,274.0,1.4545454545454546,1.789929075309999,0.18181818181818182
1,3.1753410823958332,9,8,19.256332,96.0,56,8,4.3460655,102.0,102,32,368,8.999999940395355,231.0,1.25,0.9182958340544894,0.375
1,2.48726564121395,10,10,23.68912,324.0,84,13,4.609061,184.0,110,48,456,10.00000011920929,215.0,1.1428571428571428,1.1567796494470395,0.3
0,1.9321338017775829,16,17,39.423878,46656.0,254,23,7.613392,636.0,434,82,1828,16.0,1228.0,1.4666666666666666,1.6225562489182659,0.17647058823529413
1,2.2166418800803784,9,9,22.579916,216.0,66,10,4.2532187,91.0,91,42,382,9.000000059604645,186.0,1.1428571428571428,1.2243944454059863,0.2222222222222222
1,2.014382223921077,11,12,27.579664,2592.0,120,14,5.270857,239.0,140,58,640,11.0,287.0,1.3333333333333333,1.2406705316766884,0.3333333333333333
1,2.0906094133137447,10,11,25.303799,1296.0,100,13,4.770857,179.0,103,54,484,10.0,192.0,1.1428571428571428,1.1567796494470395,0.18181818181818182
0,3.7338770560461874,17,16,91.17518467672399,18432.0,240,18,8.277917,636.0,636,66,2338,16.99999988079071,2247.0,1.4285714285714286,1.0863128407412879,0.0
1,3.1552800835051924,9,8,19.459366,72.0,56,8,4.1807394,102.0,102,34,370,9.00000011920929,235.0,1.3333333333333333,1.7527152789797047,0.125
1,2.1324849608098977,11,11,25.530867,1152.0,104,11,5.325698,240.0,168,48,691,10.999999940395355,413.0,1.1428571428571428,1.0957952550009338,0.09090909090909091
1,2.1172210627501795,11,11,25.2883,1536.0,100,12,5.393847,310.0,160,46,677,11.0,365.0,1.0,0.8658566174572236,0.45454545454545453
1,2.242040082092553,8,8,18.774246,144.0,53,6,3.8045306,73.0,62,36,270,8.000000059604645,114.0,1.0,1.5,0.125
0,1.7974869109052236,20,21,48.5386,746496.0,398,27,9.613393,1172.0,881,98,3648,20.0,3130.0,1.2857142857142858,1.4567796494470395,0.3333333333333333
1,2.2166489844213557,11,12,30.81942,768.0,120,13,4.796259,181.0,135,70,602,10.999999940395355,270.0,1.3333333333333333,1.6858157091530304,0.08333333333333333
1,2.4116033848032283,9,9,21.293335,216.0,68,10,4.2532187,99.0,84,42,352,9.000000059604645,160.0,1.5,1.2243944454059863,0.2222222222222222
1,4.749241290292078,12,11,62.367485589247515,144.0,110,21,5.1367517,178.0,178,58,638,12.00000011920929,371.0,1.2307692307692308,0.9182958340544894,0.18181818181818182
1,1.9931760493394233,11,12,27.27849,3456.0,118,15,5.3770103,300.0,140,56,646,11.0,285.0,0.8571428571428571,1.0957952550009338,0.4166666666666667
1,1.8858549519432595,11,12,28.963589,2592.0,116,13,5.3088617,178.0,152,58,688,10.999999940395355,339.0,1.3333333333333333,1.2406705316766884,0.3333333333333333
1,2.2238489986987253,9,9,21.067095,288.0,68,8,4.3425355,103.0,90,40,378,9.0,185.0,1.3333333333333333,0.9910760598382222,0.4444444444444444
1,2.014289544123099,10,11,25.915422,1152.0,98,11,4.700307,222.0,108,56,506,9.999999940395355,212.0,1.3333333333333333,1.1567796494470395,0.2727272727272727
1,1.9747448713915894,4,3,7.635733,4.0,6,1,1.9142137,10.0,10,10,38,4.0,15.0,1.2,1.5,0.3333333333333333
1,2.049211684026866,12,13,30.073315,3888.0,142,16,5.6647034,295.0,178,64,792,12.0,382.0,1.1428571428571428,1.4182958340544896,0.3076923076923077
1,2.2383312886712186,11,12,28.055422,1728.0,121,18,5.121027,218.0,128,62,585,10.999999940395355,237.0,0.6666666666666666,0.43949698692151334,0.08333333333333333
0,2.2029426515694004,20,21,49.468796,279936.0,398,36,9.322934,1061.0,735,106,2992,20.0,2141.0,1.4736842105263157,1.7387586809150082,0.09523809523809523
1,3.3766005151771443,9,8,19.662617,54.0,56,8,4.036581,96.0,96,36,348,9.000000178813934,206.0,1.1111111111111112,1.3921472236645347,0.25
1,2.1117878547916913,12,12,27.821192,2304.0,126,13,5.8425355,308.0,222,52,900,12.0,601.0,1.1428571428571428,1.0408520829727552,0.4166666666666667
1,2.282964202308462,10,10,23.559656,432.0,85,10,4.736382,142.0,121,46,496,10.0,266.0,1.4,1.370950594454669,0.0
1,3.1244021505020694,10,9,21.72912,144.0,72,8,4.6639028,143.0,143,38,520,10.000000059604645,366.0,1.1111111111111112,1.6854752972273344,0.2222222222222222
1,1.9330042024006244,11,12,27.037771,4608.0,122,16,5.466326,260.0,142,54,662,10.999999940395355,293.0,1.1428571428571428,0.6840384356390417,0.25
1,2.1738319784534137,10,10,23.261345,576.0,84,11,4.8637037,200.0,125,44,516,9.99999988079071,287.0,1.4545454545454546,1.370950594454669,0.2
1,1.9614933265723065,9,11,26.66372,2304.0,94,7,4.434287,113.0,74,58,406,8.999999940395355,128.0,1.3333333333333333,0.7642045065086203,0.0
0,1.6707283197831702,20,23,53.316845,6718464.0,455,39,9.754021,1188.0,676,114,3107,20.000000059604645,1783.0,1.5384615384615385,0.9917601481809734,0.30434782608695654
1,2.320588019062653,11,11,25.754246,864.0,104,13,5.2152143,228.0,156,50,641,11.00000011920929,353.0,1.0,1.0957952550009338,0.36363636363636365
1,2.998419094375296,10,9,21.526096,192.0,72,8,4.80806,149.0,149,36,542,10.0,399.0,1.2727272727272727,1.9609640474436811,0.1111111111111111
1,2.041498555295002,8,9,20.385765,576.0,64,6,3.966327,81.0,55,42,284,7.999999940395355,91.0,0.8,0.954434002924965,0.1111111111111111
1,2.417083445605737,12,12,28.278717,1536.0,126,16,5.6884875,284.0,198,56,800,12.0,473.0,1.2,0.8166890883150209,0.16666666666666666
1,2.383523389879723,10,10,23.569893,432.0,85,11,4.7532187,131.0,116,46,478,10.000000059604645,240.0,1.3333333333333333,1.5219280948873626,0.3
