labels,balaban,nodes,edges,estrada,narumi,padmakar_ivan,polarity_nr,randic,szeged,wiener,zagreb,schultz,mod_zagreb,hyp_wiener,n_impurity,label_entropy,edge_strength
0,10.051094890510921,18,153,11369.082834831013,6975757312.0,4896,0,9.000001,153.0,153,5202,10404,18.000000067055225,153.0,1.7894736842105263,0.3095434291503252,1.0588235294117647
0,9.553719008264464,17,136,8886116.0,4294967296.0,4080,0,8.5,136.0,136,4352,8704,17.0,136.0,1.7777777777777777,0.3227569588973983,1.0588235294117647
0,10.051094890510921,18,153,11369.082834831013,6975757312.0,4896,0,9.000001,153.0,153,5202,10404,18.000000067055225,153.0,6.421052631578948,1.0975378398419537,1.0457516339869282
0,14.036544850498231,26,325,72004895000.0,152587894784.0,15600,0,12.999999,325.0,325,16250,32500,25.999999418854713,325.0,7.777777777777778,0.7062740891876007,1.1015384615384616
0,10.051094890510921,18,153,11369.082834831013,6975757312.0,4896,0,9.000001,153.0,153,5202,10404,18.000000067055225,153.0,7.578947368421052,0.9182958340544894,1.1503267973856208
0,12.042654028435987,22,231,30796.280230105294,37822857216.0,9240,0,11.000002,231.0,231,9702,19404,22.000000409781933,231.0,4.956521739130435,0.5746356978376794,1.121212121212121
1,15.034090909090809,28,378,113443.17479408457,282429521920.0,19656,0,14.0,378.0,378,20412,40824,28.000000208616257,378.0,5.310344827586207,0.5896261811873141,0.9920634920634921
1,15.532981530343136,29,406,138593.44055069084,377801998336.0,21924,0,14.500001,406.0,406,22736,45472,29.000001296401024,406.0,5.333333333333333,0.574828144380386,0.9950738916256158
1,15.532981530343136,29,406,138593.44055069084,377801998336.0,21924,0,14.500001,406.0,406,22736,45472,29.000001296401024,406.0,3.6,0.36205125173399794,0.9950738916256158
0,14.53527607361959,27,351,92452.52507905639,208827056128.0,17550,0,13.5,351.0,351,18252,36504,27.00000100582838,351.0,3.5714285714285716,0.3809465857053901,0.9886039886039886
0,18.527580071174413,35,595,425791.8194739087,1785793871872.0,39270,0,17.5,595.0,595,40460,80920,35.00000013038516,595.0,19.77777777777778,1.517490721265414,1.0016806722689076
1,11.544502617801061,21,210,24278.389810055516,25600000000.0,7980,0,10.500001,210.0,210,8400,16800,21.000000312924385,210.0,5.090909090909091,0.7228578977329688,1.0571428571428572
0,8.559782608695643,15,105,4893.403518803103,1475789056.0,2730,0,7.500001,105.0,105,2940,5880,15.000000670552254,105.0,4.75,0.9055872616982602,0.9238095238095239
1,11.544502617801061,21,210,24278.389810055516,25600000000.0,7980,0,10.500001,210.0,210,8400,16800,21.000000312924385,210.0,3.4545454545454546,0.4537163391869449,1.1142857142857143
0,11.544502617801061,21,210,24278.389810055516,25600000000.0,7980,0,10.500001,210.0,210,8400,16800,21.000000312924385,210.0,3.4545454545454546,0.4537163391869449,1.1238095238095238
0,11.544502617801061,21,210,24278.389810055516,25600000000.0,7980,0,10.500001,210.0,210,8400,16800,21.000000312924385,210.0,3.4545454545454546,0.4537163391869449,1.119047619047619
0,11.544502617801061,21,210,24278.389810055516,25600000000.0,7980,0,10.500001,210.0,210,8400,16800,21.000000312924385,210.0,3.4545454545454546,0.4537163391869449,1.1285714285714286
0,8.063291139240498,14,91,442418.22,815730688.0,2184,0,7.0,91.0,91,2366,4732,14.000000521540642,91.0,0.0,0.0,0.8241758241758241
0,12.042654028435987,22,231,30796.280230105294,37822857216.0,9240,0,11.000002,231.0,231,9702,19404,22.000000409781933,231.0,4.956521739130435,0.5746356978376794,1.0173160173160174
0,11.544502617801061,21,210,24278.389810055516,25600000000.0,7980,0,10.500001,210.0,210,8400,16800,21.000000312924385,210.0,10.0,1.2467052127325733,1.019047619047619
1,13.039370078740117,24,276,9744804000.0,78310981632.0,12144,0,11.999999,276.0,276,12696,25392,24.000000447034836,276.0,5.2,0.6583514224564077,0.9746376811594203
0,9.553719008264464,17,136,8886116.0,4294967296.0,4080,0,8.5,136.0,136,4352,8704,17.0,136.0,1.7777777777777777,0.3227569588973983,0.8529411764705882
1,11.046511627906947,20,190,19004.279917372012,16983563264.0,6840,0,10.0,190.0,190,7220,14440,20.000000149011612,190.0,0.0,0.0,0.8947368421052632
0,9.553719008264464,17,136,8886116.0,4294967296.0,4080,0,8.5,136.0,136,4352,8704,17.0,136.0,0.0,0.0,0.8970588235294118
0,9.553719008264464,17,136,8886116.0,4294967296.0,4080,0,8.5,136.0,136,4352,8704,17.0,136.0,1.7777777777777777,0.3227569588973983,0.8529411764705882
0,5.090909090909089,8,28,1099.2084,5764801.0,336,0,4.0,28.0,28,392,784,8.000000357627869,28.0,1.5555555555555556,0.5435644431995964,0.8571428571428571
0,8.559782608695643,15,105,4893.403518803103,1475789056.0,2730,0,7.500001,105.0,105,2940,5880,15.000000670552254,105.0,3.25,0.5665095065529053,0.9238095238095239
1,16.530963302752244,31,465,10686474000000.0,656100032512.0,26970,0,15.500001,465.0,465,27900,55800,31.00000161677599,465.0,6.75,0.5547781633412736,1.0
1,16.530963302752244,31,465,10686474000000.0,656100032512.0,26970,0,15.500001,465.0,465,27900,55800,31.00000161677599,465.0,6.75,0.5547781633412736,1.0
0,10.051094890510921,18,153,11369.082834831013,6975757312.0,4896,0,9.000001,153.0,153,5202,10404,18.000000067055225,153.0,0.0,0.0,1.0588235294117647
0,9.056603773584895,16,120,6552.783839433493,2562890752.0,3360,0,8.0,120.0,120,3600,7200,16.000000834465027,120.0,3.2941176470588234,0.5435644431995964,0.9416666666666667
0,11.544502617801061,21,210,24278.389810055516,25600000000.0,7980,0,10.500001,210.0,210,8400,16800,21.000000312924385,210.0,3.4545454545454546,0.4537163391869449,0.9904761904761905
1,11.046511627906947,20,190,19004.279917372012,16983563264.0,6840,0,10.0,190.0,190,7220,14440,20.000000149011612,190.0,3.4285714285714284,0.46899559358928117,0.9842105263157894
0,10.051094890510921,18,153,11369.082834831013,6975757312.0,4896,0,9.000001,153.0,153,5202,10404,18.000000067055225,153.0,4.7368421052631575,0.6500224216483541,0.9673202614379085
1,10.548701298701271,19,171,65659976.0,11019960320.0,5814,0,9.500001,171.0,171,6156,12312,19.00000014156103,171.0,7.6,1.0869877023399053,0.9766081871345029
0,9.553719008264464,17,136,8886116.0,4294967296.0,4080,0,8.5,136.0,136,4352,8704,17.0,136.0,3.3333333333333335,0.5225593745369408,0.9558823529411765
0,12.540948275862062,23,253,3584913000.0,54875877376.0,10626,0,11.500001,253.0,253,11132,22264,23.000000685453415,253.0,9.166666666666666,1.0676111603502403,1.007905138339921
0,13.53790613718407,25,300,60536.9991638696,110075314176.0,13800,0,12.5,300.0,300,14400,28800,25.00000074505806,300.0,6.461538461538462,0.6343095546405662,1.0133333333333334
0,19.526148969889352,37,666,4311231500000000.0,2821109841920.0,46620,0,18.5,666.0,666,47952,95904,37.00000027567148,666.0,12.210526315789474,0.7531979910695014,1.027027027027027
0,14.53527607361959,27,351,92452.52507905639,208827056128.0,17550,0,13.5,351.0,351,18252,36504,27.00000100582838,351.0,6.571428571428571,0.6051865766334205,1.0227920227920229
0,11.544502617801061,21,210,24278.389810055516,25600000000.0,7980,0,10.500001,210.0,210,8400,16800,21.000000312924385,210.0,6.181818181818182,0.7024665512903904,0.9904761904761905
0,22.522621809745132,43,903,1.7392748e+18,9682651447296.0,74046,0,21.500002,903.0,903,75852,151704,43.000000800937414,903.0,18.454545454545453,0.9103480624345155,1.026578073089701
0,13.53790613718407,25,300,60536.9991638696,110075314176.0,13800,0,12.5,300.0,300,14400,28800,25.00000074505806,300.0,6.461538461538462,0.6343095546405662,1.0066666666666666
0,12.540948275862062,23,253,3584913000.0,54875877376.0,10626,0,11.500001,253.0,253,11132,22264,23.000000685453415,253.0,11.0,1.2142952630807209,1.0
