labels,balaban,nodes,edges,estrada,narumi,padmakar_ivan,polarity_nr,randic,szeged,wiener,zagreb,schultz,mod_zagreb,hyp_wiener,n_impurity,label_entropy,edge_strength
0,2.944254712520289,16,16,92.37750400236646,6561.0,234,29,7.285469,582.0,390,80,1508,16.000000476837158,963.0,1.0666666666666667,1.75,0.3125
1,2.1259682661562893,72,77,452.20714949480316,6.07985949695017e+16,5693,255,30.703392,29031.0,15819,474,63791,71.99999994039536,68138.0,1.3428571428571427,1.146156292961703,0.012987012987012988
0,4.937640544818484,14,13,73.88547902592803,432.0,156,20,5.976068,275.0,275,68,986,14.00000011920929,626.0,1.2857142857142858,1.5744174271404583,0.15384615384615385
1,2.1950267456409924,36,38,222.3805219708705,1224440064.0,1384,85,16.029486,5846.0,3254,208,13056,36.00000059604645,12227.0,1.1612903225806452,1.0,0.18421052631578946
1,2.4370942976989403,41,43,251.21341180884937,7739670528.0,1724,101,17.89064,5982.0,4360,244,17212,41.000000178813934,16676.0,1.6,1.513724874992591,0.09302325581395349
1,2.6253583320368565,11,11,26.2024,486.0,104,17,5.0365815,230.0,140,54,569,11.000000238418579,281.0,1.1666666666666667,1.6767370300521327,0.2727272727272727
1,2.781186929683078,35,36,209.27178486430583,161243136.0,1246,80,15.26458,4790.0,3020,200,11750,35.000000298023224,11115.0,1.3529411764705883,1.3003232551096926,0.1111111111111111
1,4.020391543176799,8,7,18.053158,16.0,42,9,3.25,58.0,58,38,214,8.0,97.0,1.3333333333333333,1.5,0.0
1,7.338656182046273,46,45,258.5170065491015,1207959552.0,1980,118,19.376043,6960.0,6960,260,26030,46.000000059604645,34338.0,1.4042553191489362,1.2586833089373162,0.022222222222222223
1,1.9425430748938597,50,54,317.9967111444111,11888133931008.0,2734,128,22.259508,11938.0,6961,306,28313,50.00000011920929,27773.0,1.6,1.9686187011707392,0.09259259259259259
0,2.2885027712957022,28,29,168.8749693194723,12754584.0,782,54,12.7120075,2455.0,1872,150,7458,28.000000596046448,6849.0,1.3333333333333333,1.8432935484972128,0.2413793103448276
1,5.069450142717581,16,15,85.41067205748978,1024.0,210,21,6.664214,404.0,404,82,1458,16.0,1018.0,1.7647058823529411,1.6225562489182657,0.06666666666666667
1,4.696501308307271,12,11,27.609837,144.0,110,16,5.0653844,179.0,179,58,642,12.000000059604645,371.0,1.6923076923076923,1.5510981710072644,0.09090909090909091
1,2.1145552203415585,42,45,264.41150087259723,99179642880.0,1948,102,18.850855,8409.0,4431,246,17988,42.00000077486038,15726.0,1.1428571428571428,0.998363672593813,0.2
0,3.286839971289655,17,17,98.15109800251437,6144.0,260,36,7.4604726,484.0,427,94,1634,16.999999940395355,1008.0,1.5555555555555556,1.9698157824268103,0.058823529411764705
0,2.291881286747838,31,32,186.18686926099326,86093440.0,980,64,14.287576,3626.0,2516,162,9994,31.000000834465027,10106.0,1.1333333333333333,1.4474519468397145,0.25
0,2.861107405954181,14,14,80.83031600207066,2187.0,176,25,6.3747854,412.0,268,70,1050,14.000000417232513,604.0,1.0,1.6893917467430877,0.2857142857142857
0,1.8764177811250828,26,29,67.47331,43046720.0,778,64,12.106836,3073.0,1271,154,5456,26.000000774860382,3628.0,0.9523809523809523,1.2389012566026307,0.3103448275862069
1,5.220910655301076,13,12,68.1253782157199,192.0,132,24,5.443376,210.0,210,66,750,13.000000059604645,429.0,1.4285714285714286,1.1401156785146092,0.0
0,2.2816219399705227,38,39,226.58678562081587,2754990080.0,1470,73,17.12851,6146.0,4568,202,18056,38.00000071525574,21724.0,1.368421052631579,1.6163485660751649,0.20512820512820512
1,2.478497821601938,39,41,239.67916529493735,2579890176.0,1571,98,16.965866,5455.0,3668,234,14523,39.000000298023224,12768.0,1.3513513513513513,1.2792825809557364,0.0975609756097561
0,1.8857803916076945,24,26,153.24222670534377,6377292.0,626,51,11.1624775,2358.0,1171,134,4906,24.000000536441803,3731.0,1.12,1.6922157521702992,0.3076923076923077
0,3.006403688488145,22,22,53.0764,139968.0,456,41,9.847242,1334.0,983,114,3766,22.000000298023224,3150.0,1.3043478260869565,1.547897627500467,0.13636363636363635
0,3.208427442470683,21,21,50.808548,69984.0,414,41,9.368133,1074.0,804,110,3079,21.00000023841858,2280.0,1.2380952380952381,1.7956828983511026,0.19047619047619047
0,2.1347821794786355,33,35,205.08595313789272,362797056.0,1144,65,14.669575,4291.0,2615,190,10520,33.00000011920929,9283.0,1.5151515151515151,1.4589784907403085,0.17142857142857143
1,7.968458787609281,30,29,166.1685483642334,786432.0,812,69,12.737347,1798.0,1798,164,6486,29.999999940395355,5195.0,1.5483870967741935,1.349869837094248,0.0
1,2.094110826042386,48,51,298.98330425397006,1114512556032.0,2518,131,21.28447,10995.0,6569,288,26504,48.00000035762787,27222.0,1.3617021276595744,1.4083445441575104,0.11764705882352941
1,4.776458421346054,14,13,32.625397,384.0,156,21,5.900482,283.0,283,70,1020,14.000000059604645,676.0,1.4666666666666666,1.5216406363433184,0.07692307692307693
1,6.4964712194162955,24,23,131.54777333831683,36864.0,506,45,9.982051,1102.0,1102,130,3986,23.99999988079071,3191.0,1.76,1.1887218755408673,0.0
1,2.715203520787691,32,33,191.9578750186669,45349632.0,1044,76,14.184187,3603.0,2379,180,9336,32.00000047683716,8355.0,1.393939393939394,1.4341963645051814,0.15151515151515152
0,2.067756605215529,26,28,65.71384,14348907.0,732,59,12.017519,2696.0,1352,146,5586,26.000000774860382,4122.0,1.0434782608695652,1.1867198445327565,0.25
1,2.4176099155258206,34,35,203.5003460246731,229582512.0,1178,72,15.2942295,4597.0,3154,184,12432,34.00000071525574,13185.0,1.2571428571428571,1.753320920080446,0.2571428571428571
0,2.396606430575361,20,21,49.900192,157464.0,396,38,9.069273,986.0,683,110,2754,20.00000035762787,1822.0,1.4285714285714286,1.8016094970590275,0.23809523809523808
0,2.048886039539702,41,43,251.21341180884937,22039920640.0,1782,92,18.328033,7772.0,5012,232,20187,41.00000059604645,22161.0,1.3846153846153846,1.598593466766297,0.18604651162790697
1,2.778393761787928,10,10,26.561693,128.0,83,13,4.2071066,105.0,105,58,428,10.0,196.0,1.4545454545454546,1.295461844238322,0.0
1,3.056037786369526,18,18,43.308533,17496.0,300,35,8.156807,750.0,534,92,2056,18.000000298023224,1401.0,1.1111111111111112,1.6337314206421332,0.2222222222222222
1,8.757150695723249,62,61,350.8804052181207,5566277615616.0,3660,143,26.261309,14451.0,14451,346,54368,62.0,75232.0,1.4603174603174602,1.3830302055439916,0.06557377049180328
0,4.353862884477746,11,10,24.892834,108.0,90,14,4.764743,146.0,146,50,524,11.000000178813934,299.0,1.2727272727272727,1.8230679822736608,0.2
1,3.617633211517578,24,24,58.7161,186624.0,546,45,10.3094015,1506.0,1074,132,4056,24.00000011920929,3009.0,1.3333333333333333,0.9798687566511527,0.125
0,2.5063556586048295,29,30,174.64539701259403,17006112.0,839,56,13.012649,2459.0,1912,158,7549,29.000000476837158,6471.0,1.2857142857142858,1.7271538392837373,0.2
0,1.9645013973840506,35,38,224.10848003514866,4649046016.0,1376,82,16.050213,5746.0,2824,202,11682,35.00000089406967,9475.0,1.103448275862069,1.391673328623186,0.2631578947368421
1,3.23272840122488,18,18,43.71601,11664.0,300,33,7.8867517,732.0,507,96,1944,18.00000023841858,1242.0,1.1764705882352942,1.3921472236645347,0.16666666666666666
0,3.0007241380446845,18,18,43.257496,17496.0,300,30,8.059237,767.0,543,92,2090,18.00000035762787,1434.0,1.263157894736842,1.7222663119439834,0.2222222222222222
0,2.28600413703676,27,28,66.312805,9565938.0,727,52,12.4113655,2194.0,1686,142,6729,27.000000715255737,5964.0,1.3333333333333333,2.011563048977773,0.2857142857142857
1,4.692288805429252,42,42,242.49094800621197,1528823808.0,1716,87,18.049524,5622.0,4407,234,16518,42.0,15234.0,1.9534883720930232,1.610577243331642,0.07142857142857142
0,3.5788238046761305,22,22,53.720715,110592.0,445,48,9.891358,949.0,849,118,3198,22.0,2279.0,1.826086956521739,1.8031333505578773,0.045454545454545456
1,3.113069887856409,18,18,103.92469200266227,11664.0,300,33,7.8867517,768.0,525,96,2016,18.00000023841858,1359.0,1.1764705882352942,0.9910760598382222,0.16666666666666666
0,2.0738554615762648,30,32,187.79669738743664,90699264.0,949,59,13.45825,3394.0,2048,172,8312,30.000000178813934,6994.0,1.5333333333333334,1.4823937016443556,0.1875
1,2.951323911555655,20,20,48.303444,46656.0,374,38,8.959213,1000.0,748,104,2884,20.000000298023224,2212.0,1.2380952380952381,1.8016094970590275,0.15
0,3.0255554777774902,17,17,98.15109800251437,13122.0,266,31,7.823474,670.0,456,84,1753,17.000000417232513,1143.0,1.2222222222222223,1.8654371053199075,0.23529411764705882
1,3.683530814294123,24,24,138.5662560035497,186624.0,546,45,10.309401,1470.0,1056,132,3984,24.00000011920929,2892.0,1.3333333333333333,0.9798687566511527,0.125
0,3.6850603619057662,27,27,155.8870380039934,1119744.0,696,57,11.83544,1896.0,1490,146,5647,27.00000023841858,4515.0,1.3571428571428572,1.3540489879782314,0.1111111111111111
1,2.5171479313278113,94,97,564.3315581129586,2.692572175765579e+21,9114,262,40.76474,41964.0,37729,560,149850,94.0000005364418,217169.0,1.4042553191489362,1.5315293789979338,0.09278350515463918
1,6.437103523648769,25,24,137.317215417971,139968.0,552,48,10.928204,1266.0,1266,126,4590,25.000000298023224,3831.0,1.3846153846153846,1.1585488318903812,0.125
1,2.1797841307231334,34,36,84.8421,1162261504.0,1242,75,15.660255,4278.0,2766,186,11214,34.00000101327896,9555.0,1.0285714285714285,1.1562272836006513,0.25
1,7.499373242204355,44,43,246.9722995740315,536870912.0,1806,99,18.37132,5950.0,5950,248,22156,44.0,26047.0,1.511111111111111,1.3821245148403083,0.023255813953488372
1,5.648461500753568,26,25,143.08697426830113,221184.0,600,40,11.130078,1591.0,1591,134,5848,26.00000011920929,5692.0,1.7037037037037037,2.064696448411061,0.12
1,2.199910787869741,18,19,44.66535,78732.0,322,32,8.341112,799.0,540,96,2230,18.00000035762787,1442.0,1.2222222222222223,1.459147917027245,0.2631578947368421
1,3.6118267962579584,45,46,266.9914653615973,9172942848.0,2056,118,19.220085,7768.0,4916,266,18772,45.000000178813934,16807.0,1.35,1.1080734808267856,0.08695652173913043
1,2.321269529305186,44,45,261.21916318343415,44079841280.0,1968,87,19.578033,9594.0,6906,238,27154,44.00000059604645,37363.0,1.3333333333333333,1.5617677112802777,0.2
0,2.290161663155704,35,37,87.612366,1836660096.0,1308,80,16.09286,5118.0,2890,194,11579,35.0000005364418,9822.0,1.1612903225806452,1.3924305252289029,0.21621621621621623
1,2.16392898373178,31,32,75.37078,153055008.0,980,61,14.525382,3832.0,2650,158,10536,31.000000536441803,11207.0,1.1333333333333333,1.7241353319314914,0.28125
0,3.4838471505324096,22,22,127.01906800325389,104976.0,456,41,9.708118,1210.0,860,116,3256,22.00000035762787,2312.0,1.3333333333333333,1.8230679822736613,0.22727272727272727
1,2.493678636334339,47,50,293.22008427977926,347892350976.0,2333,135,20.661413,7871.0,5316,292,21095,47.000000059604645,18080.0,1.4666666666666666,1.4781130237781417,0.06
1,3.3290542623926687,26,26,150.1134440038455,559872.0,644,54,11.2914505,1923.0,1464,142,5580,26.00000023841858,4904.0,1.3846153846153846,1.6760150508789766,0.19230769230769232
1,3.4512019705583237,26,26,62.92889,1119744.0,644,55,11.716797,1841.0,1420,136,5398,26.000000178813934,4538.0,1.3846153846153846,1.5700578392573044,0.11538461538461539
0,1.8376957167951957,23,25,60.907135,2239488.0,553,43,10.428141,1443.0,1062,136,4492,23.00000023841858,3326.0,1.391304347826087,1.7518834359763853,0.16
1,2.426300303986049,29,30,174.64539701259403,19131876.0,858,62,13.172219,2980.0,1972,156,7814,29.000000715255737,7105.0,1.2,1.753184442806615,0.26666666666666666
0,2.19421123726256,30,32,187.79669738743664,129140160.0,970,67,13.838887,3666.0,1934,166,7838,30.00000089406967,6133.0,1.1851851851851851,1.799586733285182,0.3125
0,2.5016079763840433,22,23,54.389782,531441.0,492,46,10.106836,1519.0,861,118,3440,22.000000655651093,2343.0,1.1428571428571428,1.7899290753099995,0.30434782608695654
0,1.6632138128079312,35,39,90.7462,20920707072.0,1414,85,16.376892,5667.0,2911,206,12410,35.000000953674316,10200.0,1.0666666666666667,1.2851607816997825,0.2564102564102564
0,2.434866634902023,17,18,105.42514466846839,23328.0,288,34,7.5938582,664.0,419,98,1726,17.00000023841858,974.0,1.25,1.2639334294856337,0.16666666666666666
1,2.8548271856759966,38,39,226.58678562081587,1224440064.0,1470,78,16.773504,5575.0,3715,210,14432,38.0000005364418,13822.0,1.3333333333333333,1.2363864108712896,0.15384615384615385
1,7.398905614618841,27,26,148.85701497221288,131072.0,650,60,11.207108,1402.0,1402,150,5056,27.0,3989.0,1.5555555555555556,1.5826103001485343,0.038461538461538464
0,2.6340982583989505,48,50,291.5918390700939,330225942528.0,2349,124,21.117785,10076.0,6170,282,24421,48.000000059604645,23206.0,1.4782608695652173,1.5305802086461588,0.1
0,4.229778301792715,29,29,167.43422600428923,786432.0,806,81,12.154701,2234.0,1628,172,6099,29.0,4719.0,1.2666666666666666,1.1242592373746325,0.034482758620689655
0,3.2563733068776757,31,31,178.98141400458502,10077696.0,904,64,13.64064,2642.0,2498,166,9592,31.000000417232513,9903.0,1.375,1.6846248034895612,0.16129032258064516
0,2.3061860293531224,31,33,193.55909585792034,102036672.0,1007,67,13.830128,3214.0,2034,180,8187,31.000000476837158,6277.0,1.2857142857142858,1.173334443668954,0.18181818181818182
0,2.7602520756252087,12,12,28.71592,729.0,126,21,5.4641013,282.0,174,60,696,12.000000357627869,357.0,0.9230769230769231,1.459147917027245,0.3333333333333333
