labels,balaban,nodes,edges,estrada,narumi,padmakar_ivan,polarity_nr,randic,szeged,wiener,zagreb,schultz
0,0.42068614486795436,21,21,49.413677,279936,414,28,9.807439,1336.0,1048,98,4073
0,0.4393448594005861,24,26,59.648247,26873856,616,38,11.613393,1849.0,1329,124,5673
0,0.39967076988310474,29,29,463.11128996568664,11943936,806,50,13.158703,2616.0,2160,146,8299
0,0.4054301310845589,28,31,70.62218,967458816,900,48,13.5628805,3667.0,1998,150,8648
0,0.45214978238208925,23,23,367.29516100726875,839808,500,35,10.810969,1440.0,1184,108,4577
0,0.3428303679135461,26,27,62.770447,20155392,690,38,12.273764,2611.0,1955,128,7986
0,0.5786274074001216,13,13,30.313189,3456,150,15,6.2575502,396.0,276,58,1103
0,0.6357722688007919,16,18,40.861023,186624,282,27,7.7540197,888.0,395,88,1800
0,0.36612842448291255,26,27,62.586155,31850496,690,38,12.480512,2419.0,1852,126,7582
0,0.5170633965192531,20,21,347.92965726829465,373248,406,34,9.375847,1349.0,783,104,3192
0,0.36099379135512155,28,29,475.4346170799878,71663616,800,38,13.153687,2823.0,2202,138,8936
0,0.4890219422964849,17,18,41.480904,124416,288,22,8.181541,780.0,581,84,2436
0,0.7824464233219622,10,10,23.465508,432,84,11,4.719545,189.0,116,46,480
0,0.49829451958850624,17,18,41.17893,165888,292,23,8.308862,882.0,566,82,2386
0,0.45861887145657754,31,34,583.1792675373039,3869835264,1098,62,14.927124,3720.0,2192,168,9306
0,0.39544601371740024,26,28,64.39663,80621568,710,39,12.473564,2343.0,1741,134,7354
0,0.5162606036153182,12,11,26.297672,576,110,11,5.7019067,254.0,254,46,930
0,0.3307907241746371,31,34,77.43866,7739670528,1096,49,15.008041,4542.0,2948,162,12798
0,0.5013399036616245,19,20,46.485504,279936,359,28,9.024076,997.0,717,96,2963
0,0.5254186153500036,18,19,43.9926,186624,322,26,8.651397,850.0,612,90,2546
0,0.5224115020079932,16,17,39.189396,62208,254,20,7.685871,677.0,475,80,2016
0,0.5109047176768009,22,25,56.646267,26873856,537,37,10.7203455,1505.0,959,122,4342
0,0.28865984987848625,29,31,70.758606,1146617856,892,36,14.097357,3576.0,2915,142,12444
0,0.41853979732789465,29,31,71.877174,272097792,912,56,13.848973,3430.0,2082,152,8631
0,0.49211820460005146,21,23,52.56213,4478976,476,32,10.185873,1452.0,901,110,3906
0,0.2649668859055467,34,36,82.721985,15479341056,1242,47,16.295734,5740.0,4403,168,18504
0,0.5241617623374649,19,21,47.66007,1492992,395,31,9.220346,1176.0,680,100,3015
0,0.5725135985502242,19,19,44.90605,82944,332,34,8.974398,825.0,627,90,2444
0,0.49247917964935795,18,20,45.429054,746496,356,26,8.737184,1113.0,643,96,2878
0,0.5970054600861465,16,17,39.72517,34992,248,22,7.486071,495.0,421,84,1776
0,0.4053057219471337,28,31,535.8356420493744,1146617856,886,46,13.582153,2868.0,1997,150,8718
0,0.4497863958416937,21,23,52.584763,4478976,466,33,10.18154,1348.0,971,110,4253
0,0.5252883190983122,20,21,48.66107,559872,400,34,9.524076,1125.0,768,100,3146
0,0.40304982849718335,31,35,79.83743,13060694016,1097,55,14.935561,3704.0,2482,174,10966
0,0.386761448354818,27,28,64.89825,53747712,744,44,13.086778,2762.0,1922,130,7722
0,0.3896697694381869,26,27,443.54378844144935,13436928,674,36,12.064369,2155.0,1756,132,7106
0,0.3940483685306269,21,22,363.8572110453709,1492992,450,28,10.058551,1480.0,1090,102,4566
0,0.36933581993599157,29,29,463.11128996568664,30233088,806,39,13.488977,2644.0,2324,136,9007
0,0.3022909819965991,41,44,101.47418,1880739938304,1835,70,19.654305,8299.0,5834,212,24211
0,0.3569663787483126,29,30,491.3825346117277,68024448,839,46,13.522652,2847.0,2377,146,9583
0,0.4098294377222969,25,25,58.77504,3359232,594,36,11.794132,1776.0,1542,116,5987
0,0.30729257585720404,38,42,94.703674,5283615080448,1692,57,18.77599,7063.0,4852,194,21256
0,0.4059652659412807,23,24,55.51557,4478976,540,34,11.045242,1760.0,1292,112,5320
0,0.4232270461473444,20,21,48.73151,559872,398,26,9.452397,1197.0,923,100,3858
0,0.5469622978287956,17,17,39.90097,31104,266,25,8.112591,720.0,528,78,2051
0,0.43866110430194455,15,14,33.339676,3456,182,14,7.0577493,484.0,484,60,1786
0,0.2471725240306797,36,39,88.833084,247669456896,1458,54,17.508041,7822.0,5338,182,22970
0,0.4057093029936613,22,25,56.421974,35831808,550,30,10.775988,1771.0,1173,120,5408
0,0.4648207825897321,25,27,62.68051,22674816,652,42,11.807438,1884.0,1393,134,5803
0,0.36850156365742326,34,36,600.3540878062956,8707129344,1217,57,16.336468,4561.0,3302,172,13414
0,0.49601541852039727,18,19,43.76904,248832,322,24,8.719545,854.0,648,88,2706
0,0.4050318377818073,21,22,363.8572110453709,1119744,450,28,9.93556,1556.0,1070,104,4436
0,0.44767860542218263,27,29,66.91629,120932352,777,44,12.896755,2218.0,1665,140,6991
0,0.4207330971629455,22,24,54.826115,8957952,521,31,10.631029,1639.0,1147,114,4984
0,0.40797808148941894,27,30,67.89464,859963392,844,43,13.220345,3040.0,1820,142,8034
0,0.3517618792332676,33,37,84.16007,69657034752,1250,54,16.008041,4604.0,3212,180,14145
0,0.4406673657117931,21,23,52.333908,5971968,476,29,10.237184,1407.0,995,108,4346
0,0.613543241019686,19,21,48.394135,746496,394,36,9.04866,1244.0,598,106,2601
