labels,balaban,nodes,edges,estrada,narumi,padmakar_ivan,polarity_nr,randic,szeged,wiener,zagreb,schultz,mod_zagreb,hyp_wiener,n_impurity,label_entropy,edge_strength
1,1.0,2,1,3.0861614,1,0,0,1.0,1.0,1,2,4,2.0,1.0,1.0,1.0,0.0
0,1.9747448713915894,4,3,7.6357336,4,6,1,1.9142135,10.0,10,10,38,4.0,15.0,1.5,1.5,1.6666666666666667
0,5.916448193570833,50,49,281.60701344458244,2821109841920,2352,67,23.261942,11054.0,11054,226,41992,50.00000035762787,69995.0,1.0123142790419384,1.2857142857142858,1.8775510204081634
1,1.8307710362044771,16,18,40.88189,186624,282,29,7.787694,854.0,378,88,1724,16.00000011920929,917.0,0.5435644431995964,1.0,2.5555555555555554
0,2.5395388613593908,5,4,10.118118,6,12,2,2.2700553,18.0,18,16,68,5.000000059604645,28.0,1.5219280948873626,1.2,1.75
0,2.1712966618489173,11,11,25.734575,864,104,11,5.1815405,250.0,166,50,679,11.0,408.0,1.0957952550009338,1.3333333333333333,2.4545454545454546
0,2.6086742382081716,19,19,44.90551,82944,336,29,8.929087,962.0,728,90,2827,18.999999940395355,2377.0,1.29499507471547,1.6,2.1578947368421053
0,1.6811325153966705,16,17,99.66110141799003,82944,260,20,7.75402,753.0,485,78,2086,15.999999940395355,1546.0,0.8960382325345574,1.3333333333333333,2.6470588235294117
1,2.122484084104582,18,19,111.19026098543524,104976,330,30,8.396755,927.0,555,94,2304,18.000000178813934,1518.0,0.9182958340544894,1.0,2.6315789473684212
0,2.437159260034696,11,11,25.968475,648,104,14,5.1090612,236.0,150,52,611,11.00000011920929,327.0,0.43949698692151334,1.0,2.0
1,2.1250162554146717,8,8,18.479023,192,50,7,3.9318519,109.0,64,34,280,7.999999940395355,122.0,1.061278124459133,1.2,2.75
0,1.9612537707115492,22,23,53.694923,1492992,492,36,10.397995,1706.0,1075,112,4372,22.000000059604645,3814.0,1.5088584648535124,1.5714285714285714,2.130434782608696
1,1.8236971344950355,16,18,40.975807,186624,279,27,7.8088617,694.0,385,88,1736,16.0,952.0,0.5435644431995964,1.3333333333333333,2.8333333333333335
0,2.4705134897620322,11,11,25.968481,648,104,14,5.109061,232.0,148,52,603,11.00000011920929,315.0,1.4353713907745334,1.25,2.4545454545454546
0,1.5986594573645951,14,15,33.881943,36864,198,15,6.9494896,541.0,343,66,1516,13.99999988079071,1032.0,0.5916727785823274,1.0,2.8
1,2.1722136646615424,20,21,49.370438,331776,408,35,9.248037,1128.0,744,106,3070,19.99999988079071,2204.0,1.0762976257251988,1.2,2.5714285714285716
1,2.3755216944969977,13,13,30.334229,3456,150,17,6.3123918,380.0,256,58,1015,12.99999988079071,663.0,0.6193821946787638,1.3333333333333333,2.3846153846153846
0,2.447472887876344,7,6,14.474485,32,30,4,3.4142137,56.0,56,22,204,7.0,126.0,0.8631205685666311,1.0,1.6666666666666667
0,2.1312821385375686,10,10,23.241674,576,84,9,4.7876935,189.0,126,44,526,10.0,287.0,0.46899559358928117,1.0,2.6
1,2.184105569636068,6,6,13.991826,48,29,2,2.893847,33.0,26,26,126,6.0,39.0,1.459147917027245,1.6666666666666667,1.8333333333333333
1,1.9152685288707767,19,21,48.3927,629856,396,38,9.019744,1274.0,592,106,2587,19.000000298023224,1547.0,1.2319817814011402,1.0,2.4761904761904763
1,2.7541847860376616,6,5,12.407307,12,20,4,2.8080602,31.0,31,20,114,6.0,54.0,1.0,1.0,2.0
0,1.0,2,1,3.0861614,1,0,0,1.0,1.0,1,2,4,2.0,1.0,1.0,1.0,2.0
1,5.062665715038709,13,12,68.1253782157199,324,132,24,5.7735023,216.0,216,60,768,13.000000238418579,450.0,1.2389012566026307,1.8461538461538463,1.6666666666666667
1,2.1399633186493645,7,7,16.281296,96,40,4,3.4318519,52.0,43,30,194,6.999999940395355,75.0,0.8631205685666311,1.2,2.5714285714285716
0,2.3956341215135133,11,11,25.96802,648,104,14,5.1090612,240.0,152,52,619,11.00000011920929,337.0,0.43949698692151334,1.0,1.7272727272727273
1,1.9541132662721914,18,21,49.51764,373248,378,43,8.275727,755.0,448,120,2064,18.0,998.0,0.9182958340544894,1.0909090909090908,1.9047619047619047
1,2.1250162554146717,8,8,18.479023,192,50,7,3.9318519,109.0,64,34,280,7.999999940395355,122.0,0.5435644431995964,1.0,2.625
